procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0     0  360  172  0  0 100  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  382  197  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  356  161  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     4  406  188  0  0 100  0  0
 6  0      0 4539536  44636 4426772    0    0     0    32 1176  839  2 11 86  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1475 1583  2 10 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0     0  373  178  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     8  402  199  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  385  176  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0   332  465  226  0  1 99  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  374  171  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  394  219  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  354  170  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  365  181  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0    24  375  178  0  0 100  0  0
 6  0      0 4539536  44636 4426772    0    0     0    16  758  524  1  3 96  0  0
 4  0      0 4539536  44636 4426772    0    0     0     0 1298 1299  3 16 82  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  690  565  0  3 97  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  781 1283  0  0 99  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0 2097 2801  6  2 92  0  0
 1  0      0 4539536  44636 4426772    0    0     0   308  689  571  1  1 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  399  209  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  365  175  0  0 100  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0  573  658  2  0 97  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0 1849 2985  3  2 95  0  0
 1  0      0 4539536  44636 4426772    0    0     0    24  383  201  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  376  203  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 4539536  44636 4426772    0    0     0     0 1488 1741  1  3 96  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  414  364  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  496  336  1  1 98  0  0
 2  0      0 4539536  44636 4426772    0    0     0     0 1015 1676  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0    24  408  237  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0   272  574  229  0  2 98  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  422  201  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  378  159  0  0 100  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  427  273  0  1 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     8  485  562  0  0 100  0  0
 2  0      0 4539536  44636 4426772    0    0     0    16  514  288  1  3 96  0  0
 2  0      0 4539536  44636 4426772    0    0     0     4 2229 2629  2 12 86  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  706  897  0  0 99  0  0
 1  0      0 4539536  44636 4426772    0    0     0     0  495  351  1  0 99  0  0
